Reviewer,Rating,Review,Date
Emilie Rigaud-Randolph,,"First time using a device like this and I love it. Easy to use, and i’ve seen results just in a few months.","Reviewed in the United States on January 27, 2025"
john tullous,,Still using seems to help,"Reviewed in the United States on January 17, 2025"
CTMom08,,"I've been using for several weeks now, almost every day. The hair is becoming lighter and I can see the places where it is not growing back. It's completely painless as well. You only feel a slight heat from the device, but nothing like the pain of going into a laser hair removal place in person.","Reviewed in the United States on January 10, 2025"
Buyer 2019,,It works great and hair isn’t growing back which is good!,"Reviewed in the United States on February 3, 2025"
pipes & melissa,,"Great item, great price and will last a very long time! Very easy and comfortable to use. Highly recommend!!!","Reviewed in the United States on January 29, 2025"
Jennifer :),,"Definitely appreciate the cooling feature which does minimize the temporary discomfort, even though I’ve had hundreds of hours of laser hair removal and am used to it. Seems to be taking care of the hairs as expected.","Reviewed in the United States on January 14, 2025"
Ryan,,"Product excellent! Great value for product, works as described.","Reviewed in the United States on February 3, 2025"
Rod P,,Well made item. Wife is currently using and having results already.,"Reviewed in the United States on January 31, 2025"
Jennifer Large,,Just started using so I’m not sure how effective it is but it’s easy to use.,"Reviewed in the United States on January 7, 2025"
Semaj,,"I like this product …especially the automatic mode function, which is all I use now. There has been no skin irritation and I’ve been using it 3 times a week for 2 weeks. My hair is getting softer already. I tolerate level 9 heat level without discomfort. So far, I haven’t noticed any scent while using it and it seems durable.","Reviewed in the United States on January 5, 2025"
Guy Chief,,"It is lightweight and easy to operate. It only takes about ten minutes to use each time. The pain is mild and tolerable. What I like most is its high cost performance. I can do hair removal at home, which saves a lot of time and money compared to going to a beauty salon. I have recommended it to my friends!","Reviewed in the United States on December 31, 2024"
Moe,,I have only used it 3 times so far I have done multiple areas. Not super painful. It seems to be thinning the hair in spots I’ve used it. It’s easy to use and very affordable. Does all the functions of the more expensive models. And the design fits well in my hand.,"Reviewed in the United States on January 7, 2025"
nikki,,It works wonderfully. I love the cooling effect. And I have already noticed a difference in the growth of my hair,"Reviewed in the United States on January 24, 2025"
"This was an amazing tool to remove hair. I really love this, I recommend it ❤️",,"This was an amazing tool to remove hair. I really love this, I recommend it ❤️.. good quality, good material, easy to use.. Just an amazing product","Reviewed in the United States on January 21, 2025"
I I highly recommend the product.,,I really like the cooling effect most.,"Reviewed in the United States on February 3, 2025"
Linda J. Greb,,"I've used on my chin and legs. So far it seems to b working
I don't have to shave my legs every day. It's very easy to use and doesn't take a lot of time.","Reviewed in the United States on January 9, 2025"
Amazon Customer,,So far so good. Comfortable & easy to use. Hair growing back slower and thinner.,"Reviewed in the United States on January 25, 2025"
Sophie LeRoy,,Works great!,"Reviewed in the United States on January 31, 2025"
Josh Smith,,It works well. I'm almost done with the initial 8 week period.,"Reviewed in the United States on January 26, 2025"
Marilyn,,It was super easy to use. It was easy to put away and it did not hurt.,"Reviewed in the United States on January 27, 2025"
Anaisa,,It’s the perfect combination hot and cool. Even though it’s not been so long since I started using the hair removal and I started seen some result already.,"Reviewed in the United States on January 14, 2025"
Yani Avalos,,I’ve been using the laser for only a few weeks. I’ve already started to notice the results.,"Reviewed in the United States on January 24, 2025"
Yelly,,Its nice and very easy to use and manage,"Reviewed in the United States on January 28, 2025"
jesus marchan,,"Excelente para depilar rostro completo, Bozo , axilas , pecho o donde quieras quitar el vello indeseado , cumpliendo con las instructiones","Reviewed in the United States on January 19, 2025"
Shane,,The product is easy to use. The cooling effect makes it not painful. It is effective.,"Reviewed in the United States on January 25, 2025"
Bill S,,Wife love it,"Reviewed in the United States on February 2, 2025"
April G,,This at home laser hair removal tool is great. I have used it 3 times now and my hair growth is down. It is easy to use and does not hurt. Great price.,"Reviewed in the United States on January 13, 2025"
Marisol Avila Lopez,,Hair removal device is super easy to use and results showed in 2 weeks of use. Not painful on skin since it delivers cooling sensation on skin while doing the lasering.,"Reviewed in the United States on January 14, 2025"
Angela gaillard,,"Seriously…..if you use it the proper way, that is follow the directions on how to use it, it will blow your mind away. I honestly didn’t think it would work but it’s is amazing. Use it right after I get out of the shower. Highly recommend.","Reviewed in the United States on January 4, 2025"
Ash Garcia,,I have had this device for over a month and I love it. The cool shot feature is what initially sold me on it,"Reviewed in the United States on January 16, 2025"
wylieamaznin,,Really like how this works! Great product.,"Reviewed in the United States on January 24, 2025"
Omid,,"I bought this for my mom as a New Year's gift, and she absolutely loves it! It's a great product that's also very reasonably priced.","Reviewed in the United States on January 14, 2025"
Stephen and Kaycee Teets,,"I been using it for a bit and no longer have a beard or hair on my upper lip. I am still working on my air pits, but they are sooo much better. It's so nice not to have to constantly tweeze anything .","Reviewed in the United States on December 31, 2024"
Rikki,,"From doubt to belief, after several uses, the hair has been significantly reduced, and the hair that grows back has become finer and softer, not nearly as thick as before. When using it, you can feel a slight heat sensation, no pain, and it is very comfortable to use. Highly recommended!","Reviewed in the United States on December 31, 2024"
I used this product for some weeks and it’s amazing.,,I used this product for some weeks and it’s amazing.,"Reviewed in the United States on January 19, 2025"
Anthony DiNardo,,"I think it is really useful, this hair removal device uses advanced and unique red light IPL technology, 600-1200nm red light wave is easier to safely deeply absorbed by the hair follicle, let the hair follicle into a permanent sleep state, and it also has the ice function, can cool the skin, reduce redness. You can enjoy hair removal and cooling treatments. I'm looking forward to its long-term effects.","Reviewed in the United States on December 29, 2024"
Vhincent,,👍,"Reviewed in the United States on January 21, 2025"
Janine kuzel,,Wow…I like everything about this product. From the style to the multi functional convenience and performance.,"Reviewed in the United States on January 7, 2025"
Zahra,,Very convenient to hold and use. Happy so far!,"Reviewed in the United States on January 13, 2025"
Amazon Customer,,"I was very skeptical, but I am seeing results within the first few weeks of use.","Reviewed in the United States on January 8, 2025"
craftsld,,Great alternative to shaving. Many different settings,"Reviewed in the United States on January 14, 2025"
Melanie C,,Great product. Truly makes the hair grow back slower and thinner.,"Reviewed in the United States on January 19, 2025"
ARNALDO JOSE GONZALEZ LEON,,"Very good product, highly recommended","Reviewed in the United States on January 27, 2025"
ALEXA MARTINEZ,,"Works very well, easy to use","Reviewed in the United States on January 14, 2025"
Guadalupe Chavez-Martinez,,It was very easy to use and it wasn’t irritating to the skin,"Reviewed in the United States on January 10, 2025"
Disney Deb,,"Easy to use, results gradually over time","Reviewed in the United States on January 14, 2025"
Amazon Customer,,The product works great. It’s very easy to use and arrived quickly.,"Reviewed in the United States on January 7, 2025"
Cara P.,,"The ice cooling feature on this is amazing! I’ve only used it on the lower strengths because I’m a baby, but with the ice cooling, I can’t even feel it. It’s a great value for the cost as it has multiple modes: hair removal, skin rejuvenation, and acne treatment. I love that it has many functions which makes it a more versatile product. It was very easy to use and it was comfortable to hold while doing my legs. I like that it can do auto mode which makes it easy to get everything done quickly! It took less than 10 minutes to do both legs. Overall I’m happy with this purchase!","Reviewed in the United States on December 29, 2024"
Yuko McWherter,,This device works great! I've been using it twice a week for the past few weeks and noticed that my upper lip hair is completely gone! I continue using it that way to see if my skin texture improves. Thank you!,"Reviewed in the United States on January 3, 2025"
Tori,,"Great product , it really works!","Reviewed in the United States on January 23, 2025"
Rakel Munoz,,"Been using it for about 3 weeks, the last week I haven’t been able to follow the treatment as I should but I still have seen significant progress on my legs, I’ve yet to see more progress on my armpits","Reviewed in the United States on January 3, 2025"
Angie algarin,,So far so good,"Reviewed in the United States on January 25, 2025"
Amazon Customer,,"This is the best hair removal device I’ve used! I’m seeing results that I’ve not seen with other brands. Very easy to use, and love the additional features for skin care!","Reviewed in the United States on January 7, 2025"
lupita brooks,,It’s working perfectly!!!,"Reviewed in the United States on January 26, 2025"
Juan,,Just have to be consistent.,"Reviewed in the United States on January 13, 2025"
Julia Reyna,,Easy to use. Cooling mechanism is very nice. I do wish the laser was faster but overall it works well and slowed hair regrowth,"Reviewed in the United States on January 11, 2025"
Customer,,Product was great. Customer service was amazing. I totally recommend buying this product. Overall amazing experience!,"Reviewed in the United States on January 11, 2025"
Amazon Customer,,"Easy to use, already seeing less hair growth after a few weeks of treatments.
Not painful at all!","Reviewed in the United States on January 10, 2025"
