Reviewer,Rating,Review,Date
Rose,,"The three different settings are more of an annoyance than a perk; the highest setting is less strong than my last electric toothbrush and vibrates with a weird, almost musical cadence that is a little annoying. The case is hard to open and just plastic. The charger has to go in the bottom so you're laying the brush down to charge it (and it can't charge with the case shut) so it's just inconvenient. The shape itself is sleek and the black is cool, and getting extra heads is a big win.","Reviewed in the United States on January 9, 2025"
Dawnetta,,This is well made but for me it’s much to powerful. So I gave it to my partner as it comes with many brushes to attach to the device.. He also tried it but had the same thought. After the use your teeth feel fantastic.,"Reviewed in the United States on February 3, 2025"
megan mcclanahan,,"This is the best true friend I love it so much more than even my sonicare and for the price
I literally wanted to get one for everyone in my family everyone should have this toothbrush it comes with so many heads it's got different settings the charge last for weeks it's amazing totally worth the 10 bucks","Reviewed in the United States on February 4, 2025"
"Pedí dos ya que su precio es bajo , llegaron en buen estado",,"Realmente no esperaba tanto , te deja limpios los dientes los tres modos de limpieza sirven, llega con 8 cabezas de respuesto así que tienes para un buen tiempo","Reviewed in the United States on February 4, 2025"
Julia Sharp,,"Play Video
I am not sure how I feel about it. It's a different bzzzzz than my sonicare had. The Flight of the Bumblebee thing is weird. I had hoped it would take sonicare heads as I just purchased a box of replacement heads when my sonicare went belly up. I should have just ordered another sonicare. I will use this until it dies or I run out of replacement heads and then I'll get another sonicare. This came with 8 replacement heads. The heads are not great quality. They aren't horrible but not great either. Not as firm or thick as what I am used to. It also pauses every 30 seconds to remind you to brush elsewhere which is an odd feature.
The price was very reasonable so I did not expect sonicare quality. It is nice for the price I paid. It came with 8 heads, a charger, and a case. It does what it is supposed to do and my teeth feel clean.","Reviewed in the United States on December 22, 2024"
Ms.,,"Finally, an affordable electric toothbrush. I was so stoked to see I can finally purchase one as it has been in my wish list for a long time. I could only hope that it was a good product at that price. My purchase was based off the reviews and Oh my gosh ya'll! It is a wonderful product! I really don't feel the need to go for cleanings any more. This toothbrush get the job done AND got my teeth whiter. 100 % recommend","Reviewed in the United States on January 15, 2025"
S. Combest,,"This toothbrush works well, but I am not sure if my teeth are getting any cleaner with it than a regular toothbrush. I guess I'll be able to tell when I have my next dental cleaning. The big ""con"" is that it feels super weird in your mouth and takes some adjusting. Also-do not take out of your mouth while it is on as you will end up with toothpaste all over the place!!","Reviewed in the United States on December 30, 2024"
Tammie,,"I like the product, but it did not come with the charger so therefore I can’t charge it back up. It has went down. I’m looking for a charger and I’m trying to find something that will match. If not, I will just have to buy another electronic toothbrush and make sure this time that it has a charge","Reviewed in the United States on January 6, 2025"
Daring Dani,,"Decent purchase for the reduced price offered.
Two heads.","Reviewed in the United States on February 1, 2025"
Joel Fonseca,,Such value at a truly low cost . The quality of this electric toothbrush is amazing. It has 6 different brushing modes. . Two that massage the gums. You’ll love it if you buy it!,"Reviewed in the United States on February 5, 2025"
Dej Kelly,,Love this tooth brush ! Gets the job done,"Reviewed in the United States on February 1, 2025"
Mike and Lacy,,"Love how my teeth feel afterwards I love the color and all the extras toothbrush, travel case it is a little strong the vibration part at times","Reviewed in the United States on January 18, 2025"
Davalmos,,"Un buen producto, cumple su función","Reviewed in the United States on February 3, 2025"
Jessica Logsdon,,"So I just got this and used it twice now. It is a little aggressive so be aware of that. As a dental assistant I love it but I also know that brushing too hard can ware out your enamel, so be careful! But my teeth feel so clean, and the head is small which is nice because I feel like I could never properly reach my wisdom teeth. This is a great! It came with a bunch of extra heads, a case, and a charging cord. It’s nice! And for 10 bucks? How can you beat it?","Reviewed in the United States on January 1, 2025"
Jamie Floyd,,"This toothbrush has some power. It is almost too powerful so you have to be careful.
This comes with a good amount (i think 6) brush replacements. Its pretty awesome besides the fact that the brush bristles can come loose. Otherwise great product. My teeth are shiny and smooth.","Reviewed in the United States on January 3, 2025"
Christine,,Comes ready to use right out of the package. Love the case it comes with. I picked up one for everyone in our family and my youngest (13) loves it. No more fighting him to brush his teeth! He looks forward to it because of this toothbrush!,"Reviewed in the United States on January 6, 2025"
Que LaVaughn,,Better than I expected for the price. I decided to give this a try after my sonic toothbrush finally gave out after years of use. This toothbrush works just as good and even better than some expensive brands.,"Reviewed in the United States on February 1, 2025"
Lisa,,Got this for my grandson. I feel like it gets his teeth cleaner than a regular tooth brush. Charge lasts a long time and it comes with replacement brushes. Great buy!,"Reviewed in the United States on January 31, 2025"
César,,"Excelente producto, funciona tal como la descripción mostrada en Amazon. Llega con algo de carga en la batería y se carga totalmente en menos de una hora. Muy conforme.","Reviewed in the United States on February 6, 2025"
TheSanMan,,I like this thing because it's very powerful. However it's not as light as the one I had before it and nor does the battery on it last as long as my older model. But that is to be expected because of the power.,"Reviewed in the United States on December 29, 2024"
Jaimie,,"Came with 8 attachment, but it didn’t come with a box for the charger. I will update when I try it.","Reviewed in the United States on January 13, 2025"
Dominic Melton,,I brushed my teeth with it with twice a day. The product is amazing. It looks like you just came from the dentist with this toothbrush. I haven’t had to go to the dentist since I started using it. and this product is rechargeable so you don’t have to replace your toothbrush every month. All you have to do is order some heads for like five bucks. It saves on money than having to buy a new toothbrush every month or so.,"Reviewed in the United States on January 3, 2025"
C,,Used for first time and my teeth feel like I had a cleaning. I'm loving it!,"Reviewed in the United States on January 11, 2025"
Melissa D,,"I liked the variety of colors and bought several for gifts. Very well priced, easy to charge and stays charged for quite awhile. Definitely worth the price.","Reviewed in the United States on February 2, 2025"
Robert Caruso,,Powerful and a great value! My teeth are happy.,"Reviewed in the United States on January 17, 2025"
Lynn B,,This product works great. I got it on a great clearance special and was pleasantly surprised. Works great. The charge lasts forever!!,"Reviewed in the United States on February 2, 2025"
Martin Batten,,"Great value. Does a fine job. Much better than a regular brush.
It is as good as the more expensive products.","Reviewed in the United States on February 2, 2025"
Robert,,I am in my80s and this is my first electric toothbrush. Don't know why I waited so long,"Reviewed in the United States on February 3, 2025"
Sheila Rivas Martinez,,"cada boton es un velocidad, a mi me resulta facil el uso. Y tener varios respuesto, lo hace practico","Reviewed in the United States on February 1, 2025"
Jeffrey Moore,,Ordered this for my kids and I . We were surprised with the quality of this tooth brush.,"Reviewed in the United States on February 1, 2025"
Amazon Customer,,"I love, love my toothbrush! It is easy to use and it times my brushing by pausing several times and then goes to the next step! I would definitely recommend this toothbrush, and oh, it comes with 4 or more changeable heads! Good investment for me!","Reviewed in the United States on January 13, 2025"
RedShirtRob,,"Absolutely so cute!! I got it in purple because that’s my favourite, and I LOVE that it came with so many extra heads and a cute little carrying case. My teeth feel so clean after, and I love that it has a timer!!

Not to mention I got it at an excellent time, so it was only $11 for the purple, and some colours were only $10!","Reviewed in the United States on December 31, 2024"
Patti,,Teeth feel cleaner than with a regular brush.,"Reviewed in the United States on February 7, 2025"
Diana Kay,,Looks great and is super powerful. Love it,"Reviewed in the United States on February 7, 2025"
Barbara Williams,,The whole experience with this electric toothbrush has been good for me. I ordered it as a Christmas present. It arrived on time. It was exactly what I expected. I'll have to talk to my son and see how it worked for him.,"Reviewed in the United States on January 15, 2025"
kelseyal1289,,Very pleased with the price and quality of this toothbrush.,"Reviewed in the United States on February 6, 2025"
Ivona Voerg,,Works good and has self timer which is nice,"Reviewed in the United States on February 5, 2025"
Hanoidy,,Util,"Reviewed in the United States on January 11, 2025"
Rando cust,,Smaller head than I like. The battery lasts longer than I thought it would. Great for price,"Reviewed in the United States on December 24, 2024"
DK,,"Ease of charging, lightweight","Reviewed in the United States on February 8, 2025"
marcia albright,,"I purchased 10 of these toothbrush sets for stocking stuffer, what a great gift. I found them on Amazon's daily deals. The toothbrush comes complete with a carrying case (which holds 2 toothbrush heads, plus great when you travel), eight (8) replacement toothbrush heads, one (1) USB charging cord. the toothbrush has three (3) different settings, also a two (2) minute timer. We all love this toothbrush.","Reviewed in the United States on December 31, 2024"
Monique Williams,,"Works well, affordable","Reviewed in the United States on February 5, 2025"
Logan Discenza,,"Compared to the name brands, I was surprised how much better this feels. It doesn’t feel like it’s a less expensive tooth brush, either multiple options for the type of cleaning, and a fraction of the cost.

I bought this as a cheaper alternative to leave at my girlfriend’s place. It came with a case and enough replacement heads to last me years. Compared to other brands that only come with one and NO case. It was charged out of the box and I haven’t charged it yet.","Reviewed in the United States on December 19, 2024"
TheKJFamily,,I bought one for all my kids as well love it!,"Reviewed in the United States on February 2, 2025"
Dorito,,Yeah it’s a toothbrush but the top bit comes off the brush so many times,"Reviewed in the United States on December 23, 2024"
Sandra I. Lemery,,Absolutely love this toothbrush!! My teeth feel so good after using it. I have never had my teeth feel this clean after using an electric toothbrush. The price is amazing and the number of replacement heads you get is nice!!,"Reviewed in the United States on January 7, 2025"
Phil,,This toothbrush does a great job of cleaning my teeth. I love the timer and how it pauses just a second so you know it has been 30 seconds and you can move onto the next section of your mouth. Comes with several replacement heads. The charge last a very long time.,"Reviewed in the United States on December 31, 2024"
Amazon Customer,,This is an amazing product.,"Reviewed in the United States on February 1, 2025"
Jah,,Love it,"Reviewed in the United States on February 8, 2025"
Ayala,,"Es muy bueno y funciona Perfecto, lo único malo que no me agrada es que las boquillas donde está el cepillo no cierra bien y es muy duro, aún así que esté en modo suave","Reviewed in the United States on December 8, 2024"
Cheryl L Denise,,Works excellent,"Reviewed in the United States on February 8, 2025"
Steven R Guthrie,,Works really well and a charge lasts a good while. I just wish it had a warning when the battery was getting low rather than just stopping.,"Reviewed in the United States on December 11, 2024"
María Rosa,,Buena calidad y precio,"Reviewed in the United States on January 31, 2025"
Sue,,"I bought this because I didn't want to take our ""good"" electric toothbrush on trips. I read many of the reviews and most every one had positive comments. So I bought it.
My husband charged it up and gave it a try. I can honestly say that he said he likes it better than our OralB. Has mentioned how impressed he is with it multiple times. Said its more aggressive than our other one and his teeth feel cleaner. I'm going to have to try it now.
Also seems like there are a number of accessories, too. Extra charging cord, 6 (?) brush heads, carry case, etc.
I really just bought it cause it was inexpensive snd would get us through a weekend trip. If it didnt last, well i wouldn't be out much.
I'm pleasantly surprised and have already recommended it. Will update in 60 days to advise if still working ok, charges, etc. For now, its a keeper!","Reviewed in the United States on November 25, 2024"
Ariel Horvath,,"This toothbrush is a fantastic cost effective tool for your mouth. Legit, removed plaque from my teeth that has been there for a minute.
Also, the vibrations are very strong, so your mouth will feel extra clean.
Got one for myself and each of my kids.
Will be purchasing this again.","Reviewed in the United States on December 30, 2024"
Janeth,,De muy buena calidad,"Reviewed in the United States on January 31, 2025"
A,,Performed as advertised,"Reviewed in the United States on February 2, 2025"
KristynWithaY,,We have been searching for an electric toothbrush that is easy to travel with. This is the one! It comes with a travel case that is not super bulky and easy to slip into my suitcase!,"Reviewed in the United States on January 6, 2025"
Kasie,,"I think it's a great tooth brush. It cleaned my teeth so well and my they feel like I just got them cleaned at the dentist. All day my teeth feel smooth. Mode 1 is all vibrate normal, mode 2 the top and bottom bristles move back and forth fast while the center just does the normal, mode three it goes back and forth through the bristles like a wave? It works great!","Reviewed in the United States on February 5, 2025"
Fab,,Good buy,"Reviewed in the United States on February 2, 2025"
Victoria Sandes,,Bought for my husband as a stocking stuffer and he says it works amazing. For the price it’s worth it,"Reviewed in the United States on January 16, 2025"
Helen DeVore,,"Absolutely love this! I don’t have to charge this except for every 16 days, this is using the toothbrush twice a day. Can’t wait for my next dentist appointment to see exactly what he has to say.","Reviewed in the United States on January 5, 2025"
Lyen Salgado,,Muy bonito,"Reviewed in the United States on February 1, 2025"
dawn bovenzi,,Works great,"Reviewed in the United States on February 2, 2025"
Siara M,,"Very good toothbrush!!! I love all the settings, the 30 second timer, and the power behind this thing! It is longer but I can get all the way back to my wisdom teeth with this thing and give them a good deep teeth cleaning.","Reviewed in the United States on December 31, 2024"
KH,,Great toothbrush for the price. My only complaint is that the carrying case requires you to take the toothbrush apart and the head doesn't come off easily,"Reviewed in the United States on December 4, 2024"
Dt,,"It’s the best tooth brush I’ve ever owned. I’m 26,200 days old (71.75 yrs old) and you think I would not care about some old tooth brush. Well I didn’t think I would either. But this tooth brush is different. I looked at the setting and said so what. Then things started changing. I touch the brush part and surprisingly it so soft. I thought, well this won’t get all the stuff between my teeth out.. so while it was dry and I’m just checking it out I hit the first setting and thought just like all the rest. So I oh well I hit the second setting and said WOW. This brush is going crazy throwing the bristle all over the place. Ok I’m genuinely impressed.to see the bristles dancing all over the place. I hit the third setting and it buzzing very fast and still big movement with the brush and again I’m impressed and want to try it right then and there and I did. I had never had such a soft tooth brush. I gave all the setting a good work out and enjoyed the experience. I spit rinsed and took a look. I am 100% happy with this tooth brush.the brush was supper soft and I didn’t push or dig just didn’t think it would clean so well. The 2 minute timer would be good for the kids and might enjoy the brushing action as much as me. The 60 days between charging will be nice but will probably not wait that long to charge. If your bored with your old toothbrush give this one a go I promise you will be very happy. Sorry to be long winded. Buy it","Reviewed in the United States on September 4, 2024"
Lori and Vince,,"I have only had this a week. I previously had a Phillips Sonicare toothbrush that I have had for years. It was very reliable, but it has finally quit working. I was looking for a replacement and saw these. I thought for a $10 bill, I cant go wrong. I have used it about a week and love it. It is a bit stronger than the Sonicare, but since I am used to electric toothbrushes, it was a welcome change. The softish bristles mitigate the extra strength. Ultimately, it makes me feel like I am getting a better clean. I also like the different modes. The pulsing one, feels like it gives me a great clean. I bought two just because they were so cheap. Cannot comment on charging. I do love that you do not have to always keep it on the cradle. You cant lose with this one.","Reviewed in the United States on November 19, 2024"
R. Delrio,,"Haven't tried it yet, but I noticed that the clean setting is a G, and the other two settings are a Cs. But if you play all the settings together, you get Flight of the Bumblebee.

The bristles seem kind of soft, and I am hard on tooth brushes, but I received ten heads, so that might last a few days!

We will see if my new toothbrush, Bumblebee, tranforms to a Camero, and hopefully not while it is in my bathroom!

Update: Toothbrush shuts off after two minutes. It takes me 6 minutes to brush all my teeth back and forth, up and down, the sides of my mouth, my gums, under my tongue, my tongue, and the roof of my mouth.

The soft bristles started falling out after the first brushing","Reviewed in the United States on August 29, 2024"
Horzegirl,,I cannot believe the quality of this toothbrush for the $$. Works better than my expensive toothbrushes. I love it so much I bought one for everyone in my family including some friends,"Reviewed in the United States on January 3, 2025"
krash0809,,"For $10 this toothbrush is great! Multiple settings and is sleek looking! Really cool it comes with a carrying case and the charging cord of course. One downside- needs a base to be able to stand up when not in use.... but, again, for $10 not complaining!!!","Reviewed in the United States on December 25, 2024"
Jen,,Got this for my child. We like that it has multiple brushing settings. The charge holds very long and quickly recharges. Very good value. Nice compact travel case! I can't think of any cons to this item.,"Reviewed in the United States on December 31, 2024"
Johnny Davis,,"It comes with all the attachments ,the case, the charger, and anything else that you could possibly want. The only thing is when you put it in your mouth, holy hell. LOL. It feels like my toothbrush is trying to take off in the outer space when I will turn it on. My whole head wouldn't stop vibrating for 20 minutes but my teeth were clean.","Reviewed in the United States on October 21, 2024"
aoliveras80,,The product is everything that I expected .,"Reviewed in the United States on January 16, 2025"
Tia,,I love the toothbrush! 10/10 definitely recommend. Battery life is great haven’t had to recharge it yet I have had it over a month,"Reviewed in the United States on January 5, 2025"
Falicia,,Definitely doesn't keep charge for 60 days. It lasts for a few days and that's it. But it is a powerful toothbrush.,"Reviewed in the United States on November 16, 2024"
amanda lindsay,,Good set of toothbrushes. I will say it’s kind of painful with any of the settings on but other than that it’s great.,"Reviewed in the United States on December 29, 2024"
Tyler,,"It’s really cool to have the case to put the toothbrush in for travel. Unlike other electric travel toothbrushes I’ve bought before, this one remains full size. I would definitely buy this again.","Reviewed in the United States on December 29, 2024"
joyce,,Didn't like the cheap white plastic box but the toothbrush is amazing. It has three levels and my teeth felt so clean.,"Reviewed in the United States on January 6, 2025"
Donald day,,It come with 4 heads and has multiple setting and work great. I enjoy using it. Was super fast and great service.,"Reviewed in the United States on January 6, 2025"
Leslie Frey,,My daughter and I both love these! Your mouth feels so clean after using!,"Reviewed in the United States on January 13, 2025"
s,,I have sensory issues with electric toothbrushes normally but the “soft” setting here is gentle enough for me and doesn’t bother me. The only thing I’ll say is that the button is a tad bit sensitive and sometimes it’s easy to accidentally press it and the head isn’t the sturdiest. But it came with so many replacements and a case and the pink is cute.,"Reviewed in the United States on October 13, 2024"
Kindle Customer,,So surprised how well this worked especially for the price. The modes are pretty powerful.,"Reviewed in the United States on January 5, 2025"
Teresa Braziel,,Girls loved them,"Reviewed in the United States on January 14, 2025"
Linda,,"I love this toothbrush. It's so great at getting dentist clean teeth.

It has different settings and gives stops to let you know you're cleaning your teeth enough. The size is perfect for any size hand. I got the lilac color which is beautiful.

The battery is strong and the brush has bristles that are medium soft. I'm so happy I got this toothbrush.

I recommend this to anyone looking for a new toothbrush. It even comes with extra brush refills.","Reviewed in the United States on November 23, 2024"
Debra Rooney,,I like the slim shape and that it stays charged for quite a while. My only complaint is the sound. It is very shrill and sounds like a giant mosquito.,"Reviewed in the United States on November 5, 2024"
Gregory Y.,,Great product clean very good three setting but i ise only one nice.,"Reviewed in the United States on January 4, 2025"
PJ,,Works pretty well. My only issue is for some reaason this tends to drip down the grip so has to be wiped down after every use. But well worth the cost.,"Reviewed in the United States on November 4, 2024"
Abby,,Umm kinda good for price but I feels little cheap quality!! Anyway that's the only stuff with this price so I'm happy,"Reviewed in the United States on November 22, 2024"
Ruth A Kirchner,,"I keep this electric toothbrush set in my ready-to-travel cosmetics bag so I never have to worry about forgetting to pack my toothbrush. (it has happened on more than one occasion). Granted, not quite as powerful as my Philips Sonicare but this does the trick.","Reviewed in the United States on December 14, 2024"
